id,date,team_1,team_2,home_team,tournament,h2h_win_diff,h2h_draw,form_diff_goalF,form_diff_goalA,form_diff_win,form_diff_draw,odd_win_diff,odd_draw,result,goal_diff,goal_diff_label
36096,1/15/2015,Iran,Qatar,Qatar,AFC Asian Cup,8,4,-7,-5,-3,0,-4.1693,3.5903,win,1,win_1
36097,1/15/2015,Ivory Coast,Sweden,Sweden,Friendly,1,0,7,6,-1,-1,-2.2600000000000002,3.4441,lose,-2,lose_2
36100,1/16/2015,Jordan,Palestine,Palestine,AFC Asian Cup,1,5,-8,-7,-6,1,-6.286899999999999,4.141,win,4,win_3
36099,1/16/2015,Iraq,Japan,Iraq,AFC Asian Cup,-3,2,-12,-10,-3,3,8.3352,4.7517,lose,-1,lose_1
36098,1/16/2015,Canada,Iceland,Canada,Friendly,0,1,-5,-4,-4,2,1.9707000000000001,3.2145,lose,-1,lose_1
36103,1/17/2015,Congo,Equatorial Guinea,Equatorial Guinea,African Cup of Nations,5,0,-5,-2,3,-1,0.6593,3.0069,draw,0,draw_0
36102,1/17/2015,Burkina Faso,Gabon,Burkina Faso,African Cup of Nations,-2,9,1,3,1,-1,0.05690000000000017,2.9152,lose,-2,lose_2
36101,1/17/2015,Australia,South Korea,Australia,AFC Asian Cup,2,10,6,0,-3,1,-1.5661999999999998,3.1079,lose,-1,lose_1
36104,1/17/2015,Kuwait,Oman,Oman,AFC Asian Cup,5,9,-5,-4,1,1,1.0034,3.1848,lose,-1,lose_1
36105,1/17/2015,Nigeria,Yemen,Yemen,Friendly,0,0,4,7,2,-3,-6.6429,4.72,win,2,win_2
36109,1/18/2015,Congo DR,Zambia,Zambia,African Cup of Nations,-4,9,-5,6,0,-3,0.5247999999999999,2.9514,draw,0,draw_0
36107,1/18/2015,Cape Verde,Tunisia,Tunisia,African Cup of Nations,-2,0,4,0,0,-1,1.7683,3.0745,draw,0,draw_0
36106,1/18/2015,China,North Korea,China,AFC Asian Cup,4,5,1,-2,2,2,-3.3571999999999997,3.3614,win,1,win_1
36108,1/18/2015,Saudi Arabia,Uzbekistan,Uzbekistan,AFC Asian Cup,3,1,6,1,-2,0,0.7218,3.0936,lose,-2,lose_2
36113,1/19/2015,Ghana,Senegal,Ghana,African Cup of Nations,1,5,7,2,-3,0,-0.28180000000000005,3.0162,lose,-1,lose_1
36110,1/19/2015,Algeria,South Africa,Algeria,African Cup of Nations,-1,2,9,3,1,-4,-2.7900000000000005,3.2666,win,2,win_2
36115,1/19/2015,Bahrain,Qatar,Qatar,AFC Asian Cup,6,17,-2,-7,-2,1,1.149,3.1759,win,1,win_1
