,id,date,team_1,team_2,home_team,tournament,h_win_diff,h_draw,f_goalF_1,f_goalF_2,f_goalA_1,f_goalA_2,f_win_1,f_win_2,f_draw_1,f_draw_2,avg_odds_t1_win,avg_odds_draw,avg_odds_t2_win,result
37119,37119.0,2016-03-25,Brazil,Uruguay,Brazil,FIFA World Cup qualification,13.0,18.0,11.0,14.0,13.0,12.0,8.0,5.0,1.0,3.0,,,,draw
37120,37120.0,2016-03-25,Canada,Mexico,Canada,FIFA World Cup qualification,-14.0,7.0,9.0,19.0,5.0,16.0,1.0,5.0,5.0,5.0,,,,lose
37121,37121.0,2016-03-25,El Salvador,Honduras,El Salvador,FIFA World Cup qualification,-17.0,18.0,6.0,8.0,10.0,12.0,4.0,2.0,2.0,3.0,,,,draw
37122,37122.0,2016-03-25,Gabon,Sierra Leone,Gabon,Friendly,0.0,0.0,13.0,12.0,9.0,10.0,3.0,0.0,3.0,2.0,,,,win
37123,37123.0,2016-03-25,Guatemala,USA,Guatemala,FIFA World Cup qualification,-9.0,6.0,19.0,20.0,7.0,14.0,2.0,6.0,1.0,2.0,,,,win
37124,37124.0,2016-03-25,Guinea,Malawi,Guinea,African Cup of Nations qualification,0.0,2.0,13.0,15.0,10.0,8.0,4.0,5.0,5.0,1.0,,,,draw
37125,37125.0,2016-03-25,Haiti,Panama,Haiti,FIFA World Cup qualification,5.0,6.0,9.0,13.0,15.0,10.0,4.0,2.0,3.0,6.0,,,,draw
37126,37126.0,2016-03-25,Ireland,Switzerland,Ireland,Friendly,2.0,3.0,12.0,27.0,9.0,8.0,4.0,7.0,4.0,1.0,,,,win
37127,37127.0,2016-03-25,Ivory Coast,Sudan,Ivory Coast,African Cup of Nations qualification,5.0,1.0,12.0,10.0,8.0,10.0,7.0,1.0,0.0,3.0,,,,win
37128,37128.0,2016-03-25,Costa Rica,Jamaica,Jamaica,FIFA World Cup qualification,6.0,10.0,14.0,12.0,11.0,8.0,0.0,5.0,5.0,1.0,,,,draw
37129,37129.0,2016-03-25,Bosnia-Herzegovina,Luxembourg,Luxembourg,Friendly,5.0,0.0,19.0,17.0,11.0,9.0,5.0,2.0,3.0,1.0,,,,win
37130,37130.0,2016-03-25,Equatorial Guinea,Mali,Mali,African Cup of Nations qualification,0.0,0.0,13.0,12.0,5.0,12.0,2.0,6.0,3.0,3.0,,,,lose
37131,37131.0,2016-03-25,Gambia,Mauritania,Mauritania,African Cup of Nations qualification,3.0,7.0,13.0,17.0,6.0,7.0,2.0,4.0,4.0,1.0,,,,lose
37132,37132.0,2016-03-25,France,Netherlands,Netherlands,Friendly,-1.0,4.0,17.0,20.0,11.0,16.0,7.0,4.0,0.0,1.0,,,,win
37133,37133.0,2016-03-25,Egypt,Nigeria,Nigeria,African Cup of Nations qualification,-1.0,6.0,20.0,14.0,8.0,4.0,7.0,5.0,0.0,4.0,,,,draw
37134,37134.0,2016-03-25,Bulgaria,Portugal,Portugal,Friendly,2.0,3.0,14.0,8.0,9.0,11.0,2.0,7.0,2.0,0.0,,,,win
37135,37135.0,2016-03-25,Latvia,Slovakia,Slovakia,Friendly,-2.0,2.0,13.0,15.0,14.0,11.0,0.0,7.0,5.0,1.0,,,,draw
37136,37136.0,2016-03-25,Swaziland,Zimbabwe,Swaziland,African Cup of Nations qualification,-9.0,2.0,10.0,15.0,17.0,9.0,5.0,5.0,4.0,1.0,,,,draw
37137,37137.0,2016-03-25,Togo,Tunisia,Tunisia,African Cup of Nations qualification,-6.0,1.0,12.0,14.0,11.0,18.0,3.0,4.0,2.0,4.0,,,,lose
37138,37138.0,2016-03-26,Anguilla,Puerto Rico,Anguilla,CFU Caribbean Cup qualification,-1.0,0.0,29.0,25.0,8.0,16.0,1.0,2.0,1.0,2.0,,,,lose
37139,37139.0,2016-03-26,Aruba,St Kitts and Nevis,Aruba,CFU Caribbean Cup qualification,-1.0,0.0,16.0,14.0,9.0,12.0,4.0,5.0,2.0,2.0,,,,lose
37140,37140.0,2016-03-26,Albania,Austria,Austria,Friendly,-6.0,0.0,7.0,11.0,13.0,16.0,4.0,8.0,3.0,1.0,,,,lose
37141,37141.0,2016-03-26,Azerbaijan,Kazakhstan,Azerbaijan,Friendly,0.0,3.0,19.0,9.0,8.0,13.0,1.0,0.0,3.0,4.0,,,,lose
37142,37142.0,2016-03-26,Bermuda,French Guyana,Bermuda,CFU Caribbean Cup qualification,0.0,0.0,17.0,19.0,17.0,13.0,6.0,4.0,1.0,3.0,,,,win
37143,37143.0,2016-03-26,British Virgin Islands,Dominica,British Virgin Islands,CFU Caribbean Cup qualification,-6.0,1.0,33.0,16.0,17.0,11.0,1.0,2.0,1.0,2.0,,,,lose
