team_1,team_2,home_team,tournament,h_win_diff,h_draw,f_goalF_1,f_goalF_2,f_goalA_1,f_goalA_2,f_win_1,f_win_2,f_draw_1,f_draw_2,avg_odds_win_1,avg_odds_draw,avg_odds_win_2
146,182,146,22,5,0,22,12,11,14,6,4,3,2,1.4919,3.9265,6.5623
96,104,96,22,-2,0,15,14,9,8,4,7,1,3,3.49,3.27,1.9775
2,66,2,22,-1,2,12,13,14,4,2,2,4,4,1.8,3.7,3.5
32,77,32,5,4,6,10,22,13,15,4,5,4,1,2.0172,3.1386,3.8324
93,139,93,0,0,0,17,20,19,12,4,6,2,1,1.0918,8.6779,20.6843
87,137,87,22,3,3,13,10,3,13,4,4,3,1,2.605,3.2075,2.405
4,32,32,5,-3,4,14,17,7,12,4,6,3,2,6.0,3.3083,1.5633
6,76,6,21,-3,0,18,14,9,15,3,3,2,2,4.7829,3.6579,1.6354
4,7,7,22,0,0,20,17,8,15,5,4,2,2,9.9914,4.6557,1.2443
114,155,114,22,-5,10,16,10,8,13,3,2,2,4,3.2135,3.2835,2.1271
62,64,62,36,-3,0,19,10,14,10,0,3,1,4,10.7372,5.4693,1.2738
107,149,107,36,-5,0,10,17,8,6,1,2,2,4,12.8518,5.9929,1.2114
130,164,164,13,-4,0,18,14,15,8,5,7,1,0,10.0243,4.9191,1.2857
65,83,65,22,7,3,9,19,10,11,5,1,5,1,1.1556,6.93,15.0556
184,191,184,22,1,1,23,18,6,8,5,1,3,4,1.3845,4.0018,7.08
3,60,3,21,-9,0,17,18,10,8,0,3,1,1,10.6674,4.7944,1.3115
3,150,3,36,-3,0,20,20,16,8,0,6,1,2,35.5,10.625,1.025
2,67,67,21,0,0,16,13,15,8,3,2,2,4,2.2794,3.2081,2.7819
119,130,130,21,1,0,17,17,12,14,6,8,0,1,1.4268,4.2636,7.1864
156,193,156,21,2,0,12,14,4,8,1,5,3,0,1.4658,4.0475,7.3696
69,70,69,20,2,0,19,9,13,3,7,5,3,3,1.3315,5.4396,8.9159
90,188,90,20,0,4,13,12,11,17,3,6,6,2,2.5341,3.4215,2.7519
90,167,167,22,1,9,15,11,10,11,8,8,1,2,3.4743,3.0386,2.1176
142,179,142,22,0,0,22,17,9,7,6,8,1,2,1.7,3.41,4.4833
93,184,184,22,1,0,16,13,15,4,4,5,3,4,3.945,3.325,1.775
124,181,124,7,1,21,23,11,4,9,5,3,2,5,2.3588,2.9535,2.9385
47,160,47,17,-3,0,17,16,9,11,1,4,3,1,2.9621,3.2279,2.22
48,160,160,36,1,1,10,15,13,6,6,4,1,5,2.468,3.051,2.707
86,148,148,21,7,1,9,16,10,12,8,3,0,1,2.1114,3.1493,3.2161
49,193,49,22,1,0,14,13,13,8,4,5,4,2,1.5352,3.7065,6.1591
64,172,172,22,-53,10,10,20,12,9,2,5,4,3,7.46,3.891,1.3880000000000001
7,33,7,22,0,0,16,12,13,10,7,4,0,2,1.1108,7.2058,20.2329
93,148,93,0,0,3,9,9,7,11,6,4,3,1,1.5793,3.5896,5.5726
36,177,36,21,0,0,19,13,10,8,0,1,3,4,2.5176,3.1324,2.5414
105,172,172,36,-2,0,20,13,13,16,0,3,0,1,45.3904,13.7623,1.0335
8,120,8,22,1,2,15,11,9,10,1,1,4,3,2.121,3.2824,3.2267
107,179,107,22,0,0,9,13,13,10,0,2,1,1,8.0611,4.6311,1.2978
33,107,107,22,1,0,12,25,11,22,3,0,1,0,1.2786,4.7243,7.9357
80,147,147,21,1,0,16,19,4,13,7,3,2,2,1.81,3.3083,3.7883
18,64,18,22,-1,2,17,12,11,9,4,3,1,2,1.5404,3.79,5.8168
41,103,103,21,-1,0,14,21,7,5,2,2,1,1,2.9429,3.0857,2.1986
26,87,26,22,0,0,19,15,18,7,8,4,0,5,1.0754,9.6308,21.0358
23,88,23,22,-2,0,23,18,10,10,2,5,1,1,3.1286,3.1857,2.0614
124,195,124,22,3,1,19,13,17,11,6,3,1,4,1.4971,3.6912,6.4812
43,92,92,22,5,6,16,8,8,8,1,5,2,2,2.1633,3.235,3.1779
81,159,159,22,0,7,20,18,19,15,4,1,2,2,3.9248,3.3939999999999997,1.864
120,173,173,21,-1,0,14,15,8,12,0,5,4,2,17.0421,6.8913,1.1363
29,179,29,22,-9,5,20,17,12,12,4,4,1,0,2.588,3.1,2.478
